Rank,Distribution,Statistic,Parameters,
1,Beta,0.51625,a1=0.17348  a2=3.7183 a=4.6766E-15  b=2.3001,
2,Cauchy,0.17354,s=0.10896  m=0.17966,
3,Dagum,0.22629,k=2.7169  a=2.0531  b=0.13194,
4,Dagum,0.22629,k=2.7169  a=2.0531  b=0.13194,
5,Gamma,0.24014,a=2.2558  b=0.14468,
6,Gamma,0.2069,a=0.94827  b=0.27297,
7,Gen. Extreme Value,0.12801,k=0.22348  s=0.15234  m=0.12818,
8,Gen. Gamma,0.25856,k=1.2429  a=1.3884  b=0.27297,
9,Gen. Gamma,0.21012,k=0.37502  a=15.006  b=2.0520E-4,
10,Gen. Logistic,0.12324,k=0.32186  s=0.11407  m=0.19038,
11,Gen. Pareto,0.14884,k=-0.02603  s=0.28293  m=-0.01691,
12,Johnson SB,0.14929,g=2.4289  d=1.0331 l=2.6823  x=-0.05449,
13,Laplace,0.18474,l=5.3203  m=0.25885,
14,Log-Logistic,0.24123,a=0.63739  b=0.15868,
15,Log-Logistic,0.21122,a=2.5774  b=0.25004,
16,Logistic,0.20753,s=0.14655  m=0.25885,
17,Lognormal,0.21336,s=0.67273  m=-1.3575,
18,Lognormal,0.21336,s=0.67273  m=-1.3574,
19,Normal,0.21361,s=0.26581  m=0.25885,
20,Weibull,0.2069,a=0.54172  b=0.36498,
21,Weibull,0.24705,a=1.4482  b=0.36366,
22,Erlang,No fit,No fit,
23,Erlang (3P),No fit,No fit,
24,Johnson SU,No fit,No fit,
25,Log-Gamma,No fit,No fit,
